[2026-09-02T15:37:36.260Z] GET https://demo.usebuildpress.com/stillform-atelier/ → pending (?ms, ?B)
[2026-09-02T15:37:40.397Z] GET https://demo.usebuildpress.com/stillform-atelier/wp-content/buildpress/sites/2/buildpress/sections/stillform-hero/style.css?ver=1783895275 → pending (?ms, ?B)
[2026-09-02T15:37:40.397Z] GET https://demo.usebuildpress.com/stillform-atelier/wp-content/buildpress/sites/2/buildpress/sections/stillform-selected-spaces/style.css?ver=1783895275 → pending (?ms, ?B)
[2026-09-02T15:37:40.403Z] GET https://demo.usebuildpress.com/stillform-atelier/wp-content/buildpress/sites/2/buildpress/sections/stillform-principles/style.css?ver=1783895275 → pending (?ms, ?B)
[2026-09-02T15:37:40.403Z] GET https://demo.usebuildpress.com/stillform-atelier/wp-content/buildpress/sites/2/buildpress/sections/stillform-lineage/style.css?ver=1783895275 → pending (?ms, ?B)
[2026-09-02T15:37:40.403Z] GET https://demo.usebuildpress.com/stillform-atelier/wp-content/buildpress/sites/2/buildpress/sections/stillform-studio-intro/style.css?ver=1783895275 → pending (?ms, ?B)
[2026-09-02T15:37:40.404Z] GET https://demo.usebuildpress.com/stillform-atelier/wp-content/buildpress/sites/2/buildpress/sections/stillform-journal/style.css?ver=1783895275 → pending (?ms, ?B)
[2026-09-02T15:37:40.404Z] GET https://fonts.googleapis.com/css?family=Anton:100,100italic,200,200italic,300,300italic,400,400italic,500,500italic,600,600italic,700,700italic,800,800italic,900,900italic%7CArchivo:100,100italic,200,200italic,300,300italic,400,400italic,500,500italic,600,600italic,700,700italic,800,800italic,900,900italic&display=swap → pending (?ms, ?B)
[2026-09-02T15:37:40.404Z] GET https://demo.usebuildpress.com/stillform-atelier/wp-content/buildpress/sites/2/buildpress/headers-footers/stillform-header/style.css?ver=1783895275 → pending (?ms, ?B)
[2026-09-02T15:37:40.404Z] GET https://demo.usebuildpress.com/stillform-atelier/wp-content/buildpress/sites/2/buildpress/headers-footers/stillform-footer/style.css?ver=1783895275 → pending (?ms, ?B)
[2026-09-02T15:37:40.404Z] GET https://demo.usebuildpress.com/stillform-atelier/wp-content/plugins/buildpress/assets/css/frontend.css?ver=0.2.0-beta → pending (?ms, ?B)
[2026-09-02T15:37:40.404Z] GET https://demo.usebuildpress.com/stillform-atelier/wp-content/uploads/sites/2/2026/07/stillform-courtyard-interior-hero.webp → pending (?ms, ?B)
[2026-09-02T15:37:40.404Z] GET https://demo.usebuildpress.com/stillform-atelier/wp-content/uploads/sites/2/2026/07/image-11.webp → pending (?ms, ?B)
